period,cutoff,split,model,method,pipeline_weight,actual,forecast,pipeline
2026-04-01,2026-03-31,test,MA3 + 50% pipeline,MA3,0.5,963616912.66,1123473150.068888,1402160974.0144424
2026-04-01,2026-03-31,test,SES + 0% pipeline,SES,0.0,963616912.66,878200174.0513568,1402160974.0144424
2026-04-01,2026-03-31,test,SES + 25% pipeline,SES,0.25,963616912.66,1009190374.0421282,1402160974.0144424
2026-04-01,2026-03-31,test,SES + 50% pipeline,SES,0.5,963616912.66,1140180574.0328996,1402160974.0144424
2026-04-01,2026-03-31,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,963616912.66,876022557.65,1402160974.0144424
2026-04-01,2026-03-31,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,963616912.66,1007557161.7411106,1402160974.0144424
2026-04-01,2026-03-31,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,963616912.66,1139091765.8322213,1402160974.0144424
2026-05-01,2026-04-30,test,MA3 + 0% pipeline,MA3,0.0,1212283893.57,909709427.2833333,1615123290.4701343
2026-05-01,2026-04-30,test,MA3 + 25% pipeline,MA3,0.25,1212283893.57,1086062893.0800335,1615123290.4701343
2026-05-01,2026-04-30,test,MA3 + 50% pipeline,MA3,0.5,1212283893.57,1262416358.8767338,1615123290.4701343
2026-05-01,2026-04-30,test,SES + 0% pipeline,SES,0.0,1212283893.57,903825195.6339496,1615123290.4701343
2026-05-01,2026-04-30,test,SES + 25% pipeline,SES,0.25,1212283893.57,1081649719.3429956,1615123290.4701343
2026-05-01,2026-04-30,test,SES + 50% pipeline,SES,0.5,1212283893.57,1259474243.052042,1615123290.4701343
2026-05-01,2026-04-30,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,1212283893.57,1063589196.01,1615123290.4701343
2026-05-01,2026-04-30,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,1212283893.57,1201472719.6250334,1615123290.4701343
2026-05-01,2026-04-30,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,1212283893.57,1339356243.240067,1615123290.4701343
2026-06-01,2026-05-31,test,MA3 + 0% pipeline,MA3,0.0,1219653808.76,1056411036.68,1698603563.6096117
2026-06-01,2026-05-31,test,MA3 + 25% pipeline,MA3,0.25,1219653808.76,1216959168.4124029,1698603563.6096117
2026-06-01,2026-05-31,test,MA3 + 50% pipeline,MA3,0.5,1219653808.76,1377507300.144806,1698603563.6096117
2026-06-01,2026-05-31,test,SES + 0% pipeline,SES,0.0,1219653808.76,996362805.0147647,1698603563.6096117
2026-06-01,2026-05-31,test,SES + 25% pipeline,SES,0.25,1219653808.76,1171922994.6634765,1698603563.6096117
2026-06-01,2026-05-31,test,SES + 50% pipeline,SES,0.5,1219653808.76,1347483184.3121881,1698603563.6096117
2026-06-01,2026-05-31,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,1219653808.76,1021512157.68,1698603563.6096117
2026-06-01,2026-05-31,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,1219653808.76,1190785009.1624029,1698603563.6096117
2026-06-01,2026-05-31,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,1219653808.76,1360057860.644806,1698603563.6096117
2026-07-01,2026-06-30,test,MA3 + 0% pipeline,MA3,0.0,1272541567.25,1131851538.33,1760242226.541723
2026-07-01,2026-06-30,test,MA3 + 25% pipeline,MA3,0.25,1272541567.25,1288949210.3829308,1760242226.541723
2026-07-01,2026-06-30,test,MA3 + 50% pipeline,MA3,0.5,1272541567.25,1446046882.4358616,1760242226.541723
2026-07-01,2026-06-30,test,SES + 0% pipeline,SES,0.0,1272541567.25,1063350106.1383352,1760242226.541723
2026-07-01,2026-06-30,test,SES + 25% pipeline,SES,0.25,1272541567.25,1237573136.2391822,1760242226.541723
2026-07-01,2026-06-30,test,SES + 50% pipeline,SES,0.5,1272541567.25,1411796166.3400292,1760242226.541723
2026-07-01,2026-06-30,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,1272541567.25,1113787013.04,1760242226.541723
2026-07-01,2026-06-30,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,1272541567.25,1275400816.4154308,1760242226.541723
2026-07-01,2026-06-30,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,1272541567.25,1437014619.7908616,1760242226.541723
2026-08-01,2026-07-31,test,MA3 + 0% pipeline,MA3,0.0,1240472300.05,1234826423.1933334,1728566362.2341802
2026-08-01,2026-07-31,test,MA3 + 25% pipeline,MA3,0.25,1240472300.05,1358261407.953545,1728566362.2341802
2026-08-01,2026-07-31,test,MA3 + 50% pipeline,MA3,0.5,1240472300.05,1481696392.7137568,1728566362.2341802
2026-08-01,2026-07-31,test,SES + 0% pipeline,SES,0.0,1240472300.05,1126107544.4718347,1728566362.2341802
2026-08-01,2026-07-31,test,SES + 25% pipeline,SES,0.25,1240472300.05,1276722248.912421,1728566362.2341802
2026-08-01,2026-07-31,test,SES + 50% pipeline,SES,0.5,1240472300.05,1427336953.3530073,1728566362.2341802
2026-08-01,2026-07-31,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,1240472300.05,1046563524.47,1728566362.2341802
2026-08-01,2026-07-31,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,1240472300.05,1217064233.911045,1728566362.2341802
2026-08-01,2026-07-31,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,1240472300.05,1387564943.3520901,1728566362.2341802
