period,cutoff,split,model,method,pipeline_weight,actual,forecast,pipeline,region,selected
2026-02-01,2026-01-31,validation,SES + 50% pipeline,SES,0.5,214011662.73,249821216.92423677,290658688.1988376,East,False
2026-02-01,2026-01-31,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,214011662.73,166816792.69,290658688.1988376,East,False
2026-02-01,2026-01-31,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,214011662.73,197777266.5672094,290658688.1988376,East,True
2026-02-01,2026-01-31,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,214011662.73,228737740.4444188,290658688.1988376,East,False
2026-03-01,2026-02-28,test,MA3 + 0% pipeline,MA3,0.0,211314709.6,198067542.04,340105710.6738264,East,False
2026-03-01,2026-02-28,test,MA3 + 25% pipeline,MA3,0.25,211314709.6,233577084.1984566,340105710.6738264,East,False
2026-03-01,2026-02-28,test,MA3 + 50% pipeline,MA3,0.5,211314709.6,269086626.3569132,340105710.6738264,East,False
2026-03-01,2026-02-28,test,SES + 0% pipeline,SES,0.0,211314709.6,210492120.77374518,340105710.6738264,East,False
2026-03-01,2026-02-28,test,SES + 25% pipeline,SES,0.25,211314709.6,242895518.24876547,340105710.6738264,East,False
2026-03-01,2026-02-28,test,SES + 50% pipeline,SES,0.5,211314709.6,275298915.72378576,340105710.6738264,East,False
2026-03-01,2026-02-28,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,211314709.6,225491200.29,340105710.6738264,East,False
2026-03-01,2026-02-28,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,211314709.6,254144827.8859566,340105710.6738264,East,True
2026-03-01,2026-02-28,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,211314709.6,282798455.4819132,340105710.6738264,East,False
2026-04-01,2026-03-31,test,MA3 + 0% pipeline,MA3,0.0,231257541.38,205063166.0633333,353831719.3553724,East,False
2026-04-01,2026-03-31,test,MA3 + 25% pipeline,MA3,0.25,231257541.38,242255304.3863431,353831719.3553724,East,False
2026-04-01,2026-03-31,test,MA3 + 50% pipeline,MA3,0.5,231257541.38,279447442.70935285,353831719.3553724,East,False
2026-04-01,2026-03-31,test,SES + 0% pipeline,SES,0.0,231257541.38,210738897.42162162,353831719.3553724,East,False
2026-04-01,2026-03-31,test,SES + 25% pipeline,SES,0.25,231257541.38,246512102.90505934,353831719.3553724,East,False
2026-04-01,2026-03-31,test,SES + 50% pipeline,SES,0.5,231257541.38,282285308.388497,353831719.3553724,East,False
2026-04-01,2026-03-31,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,231257541.38,206661386.29,353831719.3553724,East,False
2026-04-01,2026-03-31,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,231257541.38,243453969.5563431,353831719.3553724,East,True
2026-04-01,2026-03-31,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,231257541.38,280246552.8226862,353831719.3553724,East,False
2026-05-01,2026-04-30,test,MA3 + 0% pipeline,MA3,0.0,290847563.37,218861304.57000002,421015012.11618423,East,False
2026-05-01,2026-04-30,test,MA3 + 25% pipeline,MA3,0.25,290847563.37,269399731.45654607,421015012.11618423,East,False
2026-05-01,2026-04-30,test,MA3 + 50% pipeline,MA3,0.5,290847563.37,319938158.34309214,421015012.11618423,East,False
2026-05-01,2026-04-30,test,SES + 0% pipeline,SES,0.0,290847563.37,216894490.6091351,421015012.11618423,East,False
2026-05-01,2026-04-30,test,SES + 25% pipeline,SES,0.25,290847563.37,267924620.98589736,421015012.11618423,East,False
2026-05-01,2026-04-30,test,SES + 50% pipeline,SES,0.5,290847563.37,318954751.3626597,421015012.11618423,East,False
2026-05-01,2026-04-30,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,290847563.37,283756917.29,421015012.11618423,East,False
2026-05-01,2026-04-30,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,290847563.37,318071440.9965461,421015012.11618423,East,True
2026-05-01,2026-04-30,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,290847563.37,352385964.7030921,421015012.11618423,East,False
2026-06-01,2026-05-31,test,MA3 + 0% pipeline,MA3,0.0,309013128.61,244473271.45000002,416792329.33511513,East,False
2026-06-01,2026-05-31,test,MA3 + 25% pipeline,MA3,0.25,309013128.61,287553035.9212788,416792329.33511513,East,False
2026-06-01,2026-05-31,test,MA3 + 50% pipeline,MA3,0.5,309013128.61,330632800.39255756,416792329.33511513,East,False
2026-06-01,2026-05-31,test,SES + 0% pipeline,SES,0.0,309013128.61,239080412.43739456,416792329.33511513,East,False
2026-06-01,2026-05-31,test,SES + 25% pipeline,SES,0.25,309013128.61,283508391.6618247,416792329.33511513,East,False
2026-06-01,2026-05-31,test,SES + 50% pipeline,SES,0.5,309013128.61,327936370.88625485,416792329.33511513,East,False
2026-06-01,2026-05-31,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,309013128.61,281529494.11,416792329.33511513,East,False
2026-06-01,2026-05-31,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,309013128.61,315345202.9162788,416792329.33511513,East,True
2026-06-01,2026-05-31,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,309013128.61,349160911.72255754,416792329.33511513,East,False
2026-07-01,2026-06-30,test,MA3 + 0% pipeline,MA3,0.0,322016092.07,277039411.12,433810093.6044718,East,False
2026-07-01,2026-06-30,test,MA3 + 25% pipeline,MA3,0.25,322016092.07,316232081.74111795,433810093.6044718,East,False
2026-07-01,2026-06-30,test,MA3 + 50% pipeline,MA3,0.5,322016092.07,355424752.3622359,433810093.6044718,East,False
2026-07-01,2026-06-30,test,SES + 0% pipeline,SES,0.0,322016092.07,260060227.2891762,433810093.6044718,East,False
2026-07-01,2026-06-30,test,SES + 25% pipeline,SES,0.25,322016092.07,303497693.8680001,433810093.6044718,East,False
2026-07-01,2026-06-30,test,SES + 50% pipeline,SES,0.5,322016092.07,346935160.446824,433810093.6044718,East,False
2026-07-01,2026-06-30,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,322016092.07,313113083.75,433810093.6044718,East,False
2026-07-01,2026-06-30,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,322016092.07,343287336.2136179,433810093.6044718,East,True
2026-07-01,2026-06-30,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,322016092.07,373461588.6772359,433810093.6044718,East,False
2026-08-01,2026-07-31,test,MA3 + 0% pipeline,MA3,0.0,337762525.11,307292261.34999996,430014165.2687741,East,False
2026-08-01,2026-07-31,test,MA3 + 25% pipeline,MA3,0.25,337762525.11,337972737.3296935,430014165.2687741,East,False
2026-08-01,2026-07-31,test,MA3 + 50% pipeline,MA3,0.5,337762525.11,368653213.309387,430014165.2687741,East,False
2026-08-01,2026-07-31,test,SES + 0% pipeline,SES,0.0,337762525.11,278646986.72342336,430014165.2687741,East,False
2026-08-01,2026-07-31,test,SES + 25% pipeline,SES,0.25,337762525.11,316488781.35976106,430014165.2687741,East,False
2026-08-01,2026-07-31,test,SES + 50% pipeline,SES,0.5,337762525.11,354330575.99609876,430014165.2687741,East,False
2026-08-01,2026-07-31,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,337762525.11,228306647.19,430014165.2687741,East,False
2026-08-01,2026-07-31,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,337762525.11,278733526.7096935,430014165.2687741,East,True
2026-08-01,2026-07-31,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,337762525.11,329160406.22938704,430014165.2687741,East,False
2025-09-01,2025-08-31,validation,MA3 + 0% pipeline,MA3,0.0,244378902.69,277647471.08,367490183.69889873,North,False
2025-09-01,2025-08-31,validation,MA3 + 25% pipeline,MA3,0.25,244378902.69,300108149.2347247,367490183.69889873,North,False
2025-09-01,2025-08-31,validation,MA3 + 50% pipeline,MA3,0.5,244378902.69,322568827.38944936,367490183.69889873,North,False
2025-09-01,2025-08-31,validation,SES + 0% pipeline,SES,0.0,244378902.69,258772085.10161623,367490183.69889873,North,False
2025-09-01,2025-08-31,validation,SES + 25% pipeline,SES,0.25,244378902.69,285951609.75093687,367490183.69889873,North,False
2025-09-01,2025-08-31,validation,SES + 50% pipeline,SES,0.5,244378902.69,313131134.40025747,367490183.69889873,North,False
2025-09-01,2025-08-31,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,244378902.69,226859180.84,367490183.69889873,North,True
2025-09-01,2025-08-31,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,244378902.69,262016931.5547247,367490183.69889873,North,False
2025-09-01,2025-08-31,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,244378902.69,297174682.26944935,367490183.69889873,North,False
2025-10-01,2025-09-30,validation,MA3 + 0% pipeline,MA3,0.0,215982256.79,285385253.8566666,324179782.1163638,North,False
2025-10-01,2025-09-30,validation,MA3 + 25% pipeline,MA3,0.25,215982256.79,295083885.9215909,324179782.1163638,North,False
2025-10-01,2025-09-30,validation,MA3 + 50% pipeline,MA3,0.5,215982256.79,304782517.9865152,324179782.1163638,North,False
2025-10-01,2025-09-30,validation,SES + 0% pipeline,SES,0.0,215982256.79,254454130.37813133,324179782.1163638,North,False
2025-10-01,2025-09-30,validation,SES + 25% pipeline,SES,0.25,215982256.79,271885543.3126894,324179782.1163638,North,False
2025-10-01,2025-09-30,validation,SES + 50% pipeline,SES,0.5,215982256.79,289316956.2472476,324179782.1163638,North,False
2025-10-01,2025-09-30,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,215982256.79,206019679.3,324179782.1163638,North,True
2025-10-01,2025-09-30,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,215982256.79,235559705.00409096,324179782.1163638,North,False
2025-10-01,2025-09-30,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,215982256.79,265099730.70818192,324179782.1163638,North,False
2025-11-01,2025-10-31,validation,MA3 + 0% pipeline,MA3,0.0,189806431.17,244745221.71666667,309196256.00896186,North,False
2025-11-01,2025-10-31,validation,MA3 + 25% pipeline,MA3,0.25,189806431.17,260857980.28974044,309196256.00896186,North,False
2025-11-01,2025-10-31,validation,MA3 + 50% pipeline,MA3,0.5,189806431.17,276970738.86281425,309196256.00896186,North,False
2025-11-01,2025-10-31,validation,SES + 0% pipeline,SES,0.0,189806431.17,242912568.30169192,309196256.00896186,North,False
2025-11-01,2025-10-31,validation,SES + 25% pipeline,SES,0.25,189806431.17,259483490.22850943,309196256.00896186,North,False
2025-11-01,2025-10-31,validation,SES + 50% pipeline,SES,0.5,189806431.17,276054412.1553269,309196256.00896186,North,False
2025-11-01,2025-10-31,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,189806431.17,192695094.7,309196256.00896186,North,True
2025-11-01,2025-10-31,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,189806431.17,221820385.02724046,309196256.00896186,North,False
2025-11-01,2025-10-31,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,189806431.17,250945675.35448092,309196256.00896186,North,False
2025-12-01,2025-11-30,validation,MA3 + 0% pipeline,MA3,0.0,201106327.04,216722530.21666667,318549448.0067456,North,False
2025-12-01,2025-11-30,validation,MA3 + 25% pipeline,MA3,0.25,201106327.04,242179259.6641864,318549448.0067456,North,False
2025-12-01,2025-11-30,validation,MA3 + 50% pipeline,MA3,0.5,201106327.04,267635989.11170614,318549448.0067456,North,False
2025-12-01,2025-11-30,validation,SES + 0% pipeline,SES,0.0,201106327.04,226980727.16218436,318549448.0067456,North,False
2025-12-01,2025-11-30,validation,SES + 25% pipeline,SES,0.25,201106327.04,249872907.37332466,318549448.0067456,North,False
2025-12-01,2025-11-30,validation,SES + 50% pipeline,SES,0.5,201106327.04,272765087.58446497,318549448.0067456,North,False
2025-12-01,2025-11-30,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,201106327.04,191175981.41,318549448.0067456,North,True
2025-12-01,2025-11-30,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,201106327.04,223019348.0591864,318549448.0067456,North,False
2025-12-01,2025-11-30,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,201106327.04,254862714.70837277,318549448.0067456,North,False
2026-01-01,2025-12-31,validation,MA3 + 0% pipeline,MA3,0.0,217481696.74,202298338.33333334,322206005.8122232,North,False
2026-01-01,2025-12-31,validation,MA3 + 25% pipeline,MA3,0.25,217481696.74,232275255.2030558,322206005.8122232,North,False
2026-01-01,2025-12-31,validation,MA3 + 50% pipeline,MA3,0.5,217481696.74,262252172.07277828,322206005.8122232,North,False
2026-01-01,2025-12-31,validation,SES + 0% pipeline,SES,0.0,217481696.74,219218407.12552902,322206005.8122232,North,False
2026-01-01,2025-12-31,validation,SES + 25% pipeline,SES,0.25,217481696.74,244965306.79720256,322206005.8122232,North,False
2026-01-01,2025-12-31,validation,SES + 50% pipeline,SES,0.5,217481696.74,270712206.4688761,322206005.8122232,North,False
2026-01-01,2025-12-31,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,217481696.74,179203276.37,322206005.8122232,North,True
2026-01-01,2025-12-31,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,217481696.74,214953958.7305558,322206005.8122232,North,False
2026-01-01,2025-12-31,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,217481696.74,250704641.0911116,322206005.8122232,North,False
2026-02-01,2026-01-31,validation,MA3 + 0% pipeline,MA3,0.0,172146382.35,202798151.65,283993172.24914145,North,False
2026-02-01,2026-01-31,validation,MA3 + 25% pipeline,MA3,0.25,172146382.35,223096906.79978538,283993172.24914145,North,False
2026-02-01,2026-01-31,validation,MA3 + 50% pipeline,MA3,0.5,172146382.35,243395661.94957072,283993172.24914145,North,False
2026-02-01,2026-01-31,validation,SES + 0% pipeline,SES,0.0,172146382.35,218697394.0098703,283993172.24914145,North,False
2026-02-01,2026-01-31,validation,SES + 25% pipeline,SES,0.25,172146382.35,235021338.56968808,283993172.24914145,North,False
2026-02-01,2026-01-31,validation,SES + 50% pipeline,SES,0.5,172146382.35,251345283.12950587,283993172.24914145,North,False
2026-02-01,2026-01-31,validation,Seasonal naive + 0% pipeline,Seasonal naive,0.0,172146382.35,160518706.35999998,283993172.24914145,North,True
2026-02-01,2026-01-31,validation,Seasonal naive + 25% pipeline,Seasonal naive,0.25,172146382.35,191387322.83228534,283993172.24914145,North,False
2026-02-01,2026-01-31,validation,Seasonal naive + 50% pipeline,Seasonal naive,0.5,172146382.35,222255939.30457073,283993172.24914145,North,False
2026-03-01,2026-02-28,test,MA3 + 0% pipeline,MA3,0.0,289903306.67,196911468.71,378140949.0974708,North,False
2026-03-01,2026-02-28,test,MA3 + 25% pipeline,MA3,0.25,289903306.67,242218838.80686772,378140949.0974708,North,False
2026-03-01,2026-02-28,test,MA3 + 50% pipeline,MA3,0.5,289903306.67,287526208.9037354,378140949.0974708,North,False
2026-03-01,2026-02-28,test,SES + 0% pipeline,SES,0.0,289903306.67,204732090.5119092,378140949.0974708,North,False
2026-03-01,2026-02-28,test,SES + 25% pipeline,SES,0.25,289903306.67,248084305.15829957,378140949.0974708,North,False
2026-03-01,2026-02-28,test,SES + 50% pipeline,SES,0.5,289903306.67,291436519.80469,378140949.0974708,North,False
2026-03-01,2026-02-28,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,289903306.67,215309226.95,378140949.0974708,North,True
2026-03-01,2026-02-28,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,289903306.67,256017157.48686767,378140949.0974708,North,False
2026-03-01,2026-02-28,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,289903306.67,296725088.0237354,378140949.0974708,North,False
2026-04-01,2026-03-31,test,MA3 + 0% pipeline,MA3,0.0,248614735.72,226510461.92,358512930.50464815,North,False
2026-04-01,2026-03-31,test,MA3 + 25% pipeline,MA3,0.25,248614735.72,259511079.06616205,358512930.50464815,North,False
2026-04-01,2026-03-31,test,MA3 + 50% pipeline,MA3,0.5,248614735.72,292511696.2123241,358512930.50464815,North,False
2026-04-01,2026-03-31,test,SES + 0% pipeline,SES,0.0,248614735.72,230283455.35933644,358512930.50464815,North,False
2026-04-01,2026-03-31,test,SES + 25% pipeline,SES,0.25,248614735.72,262340824.1456644,358512930.50464815,North,False
2026-04-01,2026-03-31,test,SES + 50% pipeline,SES,0.5,248614735.72,294398192.9319923,358512930.50464815,North,False
2026-04-01,2026-03-31,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,248614735.72,216213484.12,358512930.50464815,North,True
2026-04-01,2026-03-31,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,248614735.72,251788345.71616203,358512930.50464815,North,False
2026-04-01,2026-03-31,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,248614735.72,287363207.31232405,358512930.50464815,North,False
2026-05-01,2026-04-30,test,MA3 + 0% pipeline,MA3,0.0,348410680.62,236888141.58,419601449.2650345,North,False
2026-05-01,2026-04-30,test,MA3 + 25% pipeline,MA3,0.25,348410680.62,282566468.5012586,419601449.2650345,North,False
2026-05-01,2026-04-30,test,MA3 + 50% pipeline,MA3,0.5,348410680.62,328244795.42251724,419601449.2650345,North,False
2026-05-01,2026-04-30,test,SES + 0% pipeline,SES,0.0,348410680.62,235782839.4675355,419601449.2650345,North,False
2026-05-01,2026-04-30,test,SES + 25% pipeline,SES,0.25,348410680.62,281737491.91691023,419601449.2650345,North,False
2026-05-01,2026-04-30,test,SES + 50% pipeline,SES,0.5,348410680.62,327692144.36628497,419601449.2650345,North,False
2026-05-01,2026-04-30,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,348410680.62,241890458.15,419601449.2650345,North,True
2026-05-01,2026-04-30,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,348410680.62,286318205.9287586,419601449.2650345,North,False
2026-05-01,2026-04-30,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,348410680.62,330745953.70751727,419601449.2650345,North,False
2026-06-01,2026-05-31,test,MA3 + 0% pipeline,MA3,0.0,296080929.5,295642907.67,428905945.1418089,North,False
2026-06-01,2026-05-31,test,MA3 + 25% pipeline,MA3,0.25,296080929.5,328958667.03795224,428905945.1418089,North,False
2026-06-01,2026-05-31,test,MA3 + 50% pipeline,MA3,0.5,296080929.5,362274426.4059045,428905945.1418089,North,False
2026-06-01,2026-05-31,test,SES + 0% pipeline,SES,0.0,296080929.5,269571191.81327486,428905945.1418089,North,False
2026-06-01,2026-05-31,test,SES + 25% pipeline,SES,0.25,296080929.5,309404880.1454084,428905945.1418089,North,False
2026-06-01,2026-05-31,test,SES + 50% pipeline,SES,0.5,296080929.5,349238568.4775419,428905945.1418089,North,False
2026-06-01,2026-05-31,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,296080929.5,221165554.35999998,428905945.1418089,North,True
2026-06-01,2026-05-31,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,296080929.5,273100652.0554522,428905945.1418089,North,False
2026-06-01,2026-05-31,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,296080929.5,325035749.75090444,428905945.1418089,North,False
2026-07-01,2026-06-30,test,MA3 + 0% pipeline,MA3,0.0,329407962.39,297702115.28000003,438443642.89074427,North,False
2026-07-01,2026-06-30,test,MA3 + 25% pipeline,MA3,0.25,329407962.39,332887497.1826861,438443642.89074427,North,False
2026-07-01,2026-06-30,test,MA3 + 50% pipeline,MA3,0.5,329407962.39,368072879.08537215,438443642.89074427,North,False
2026-07-01,2026-06-30,test,SES + 0% pipeline,SES,0.0,329407962.39,277524113.1192924,438443642.89074427,North,False
2026-07-01,2026-06-30,test,SES + 25% pipeline,SES,0.25,329407962.39,317753995.56215537,438443642.89074427,North,False
2026-07-01,2026-06-30,test,SES + 50% pipeline,SES,0.5,329407962.39,357983878.00501835,438443642.89074427,North,False
2026-07-01,2026-06-30,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,329407962.39,337902353.21,438443642.89074427,North,True
2026-07-01,2026-06-30,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,329407962.39,363037675.630186,438443642.89074427,North,False
2026-07-01,2026-06-30,test,Seasonal naive + 50% pipeline,Seasonal naive,0.5,329407962.39,388172998.0503721,438443642.89074427,North,False
2026-08-01,2026-07-31,test,MA3 + 0% pipeline,MA3,0.0,297301371.65,324633190.83666664,440281431.6494311,North,False
2026-08-01,2026-07-31,test,MA3 + 25% pipeline,MA3,0.25,297301371.65,353545251.03985775,440281431.6494311,North,False
2026-08-01,2026-07-31,test,MA3 + 50% pipeline,MA3,0.5,297301371.65,382457311.2430489,440281431.6494311,North,False
2026-08-01,2026-07-31,test,SES + 0% pipeline,SES,0.0,297301371.65,293089267.90050465,440281431.6494311,North,False
2026-08-01,2026-07-31,test,SES + 25% pipeline,SES,0.25,297301371.65,329887308.83773625,440281431.6494311,North,False
2026-08-01,2026-07-31,test,SES + 50% pipeline,SES,0.5,297301371.65,366685349.7749679,440281431.6494311,North,False
2026-08-01,2026-07-31,test,Seasonal naive + 0% pipeline,Seasonal naive,0.0,297301371.65,273874505.67,440281431.6494311,North,True
2026-08-01,2026-07-31,test,Seasonal naive + 25% pipeline,Seasonal naive,0.25,297301371.65,315476237.16485775,440281431.6494311,North,False
