opportunity_id,customer_id,city,state,region,industry,customer_segment,company_size,existing_customer,customer_health_score,account_id,sales_rep_id,sales_team_id,created_date,product_id,product,product_category,lead_source,contract_type,deal_type,new_or_existing_customer,opportunity_amount,discount_percentage,net_deal_value,competitor_present,competitor_name,decision_makers_count,engagement_score,expected_close_date,sales_stage,previous_stage,stage_entry_date,actual_close_date,deal_status,lost_reason,last_activity_date,activity_gap_days,next_follow_up_date,sales_cycle_days,total_opportunity_age_days,days_in_current_stage,quarter,month,year,meeting_count,email_count,call_count,demo_count,follow_up_count,proposal_sent,win_probability,weighted_value,forecast_category,risk_score,risk_level,risk_drivers,recommended_action,health_stage_progression,health_recency,health_age,health_engagement,health_close_plan,health_historical_conversion,health_size_balance,health_next_action,health_score,health_category,forecast_risk_value
14,1445,Chennai,Tamil Nadu,South,Manufacturing,Mid-market,345,False,88,1445,1,1,2025-07-02,3,Data Advisory,Services,Inbound,Annual,New business,New,718556.71,8.74,655754.85,False,None,4,76.8,2025-11-08,Closed Won,Negotiation,2025-09-24,2025-09-24,Closed Won,,2025-09-20,4,,84.0,84,0,3,7,2025,1,5,1,0,1,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
15,1406,Chennai,Tamil Nadu,South,Manufacturing,Enterprise,630,False,63,1406,2,1,2023-09-10,2,Workflow Suite,Software,Referral,Annual,New business,New,1657470.51,8.67,1513767.82,True,Competitor B,6,35.6,2024-01-28,Closed Lost,Lead,2023-09-15,2023-09-15,Closed Lost,No decision,2023-09-15,0,,5.0,5,0,3,9,2023,1,3,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
16,7286,Kolkata,West Bengal,East,Manufacturing,SMB,117,False,94,7286,41,4,2026-06-05,2,Workflow Suite,Software,Outbound,Annual,New business,New,145418.64,7.32,134774.0,False,None,1,74.3,2026-09-04,Closed Lost,Discovery,2026-06-27,2026-06-27,Closed Lost,Timing,2026-06-26,1,,22.0,22,0,2,6,2026,1,1,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
17,14951,Pune,Maharashtra,West,Healthcare,SMB,47,False,36,14951,16,2,2024-08-18,4,Security Services,Services,Inbound,Annual,New business,New,314013.32,8.43,287542.0,False,None,4,52.4,2024-11-23,Closed Won,Negotiation,2024-12-27,2024-12-27,Closed Won,,2024-12-13,14,,131.0,131,0,3,8,2024,2,0,0,0,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
18,15385,Delhi,Delhi,North,Healthcare,Enterprise,936,True,53,15385,25,3,2026-05-20,4,Security Services,Services,Referral,Project,Expansion,Existing,1465315.86,9.75,1322447.56,True,Competitor A,3,44.7,2026-08-30,Closed Lost,Lead,2026-05-25,2026-05-25,Closed Lost,Product mismatch,2026-05-24,1,,5.0,5,0,2,5,2026,0,1,0,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
19,6080,Jaipur,Rajasthan,North,IT Services,Mid-market,387,False,75,6080,27,3,2025-05-12,2,Workflow Suite,Software,Inbound,Multi-year,New business,New,2736164.81,6.02,2571447.69,False,None,1,64.2,2025-08-31,Closed Lost,Lead,2025-05-25,2025-05-25,Closed Lost,Pricing,2025-05-23,2,,13.0,13,0,2,5,2025,3,0,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
20,762,Delhi,Delhi,North,Retail,SMB,70,True,91,762,35,3,2023-03-16,3,Data Advisory,Services,Outbound,Annual,Renewal,Existing,246261.84,11.56,217793.97,False,None,3,48.6,2023-07-29,Closed Won,Negotiation,2023-07-20,2023-07-20,Closed Won,,2023-06-27,23,,126.0,126,0,1,3,2023,1,2,0,1,1,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
21,3439,Bhubaneswar,Odisha,East,Manufacturing,Mid-market,399,False,92,3439,39,4,2024-07-12,3,Data Advisory,Services,Outbound,Annual,New business,New,1963276.79,7.76,1810926.51,True,Competitor B,2,78.3,2024-09-16,Closed Lost,Negotiation,2024-11-01,2024-11-01,Closed Lost,Timing,2024-10-04,28,,112.0,112,0,3,7,2024,1,1,0,2,0,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
22,15334,Kolkata,West Bengal,East,Healthcare,Mid-market,387,False,45,15334,40,4,2023-02-20,1,Cloud Enablement,Services,Referral,Project,New business,New,604207.74,9.92,544270.33,True,Competitor A,3,65.4,2023-06-06,Closed Lost,Lead,2023-03-16,2023-03-16,Closed Lost,Competitor selected,2023-03-10,6,,24.0,24,0,1,2,2023,1,3,0,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
23,10095,Kolkata,West Bengal,East,IT Services,Mid-market,285,True,72,10095,40,4,2024-07-07,1,Cloud Enablement,Services,Partner,Project,Renewal,Existing,372262.06,7.85,343039.49,False,None,3,39.8,2024-10-10,Closed Lost,Negotiation,2024-10-13,2024-10-13,Closed Lost,Customer priorities changed,2024-09-08,35,,98.0,98,0,3,7,2024,1,1,0,0,0,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
24,11647,Bengaluru,Karnataka,South,Healthcare,SMB,74,True,86,11647,9,1,2024-02-17,2,Workflow Suite,Software,Outbound,Project,Renewal,Existing,135133.71,15.5,114187.98,False,None,1,39.8,2024-04-24,Closed Lost,Lead,2024-02-28,2024-02-28,Closed Lost,Internal approval delay,2024-02-27,1,,11.0,11,0,1,2,2024,1,0,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
25,2970,Jaipur,Rajasthan,North,IT Services,Mid-market,180,False,93,2970,34,3,2024-03-13,1,Cloud Enablement,Services,Outbound,Project,New business,New,353232.77,8.39,323596.54,False,None,1,65.4,2024-05-27,Closed Lost,Qualified,2024-03-23,2024-03-23,Closed Lost,Pricing,2024-03-23,0,,10.0,10,0,1,3,2024,2,1,3,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
26,14714,Jaipur,Rajasthan,North,BFSI,Mid-market,282,False,49,14714,30,3,2026-08-19,2,Workflow Suite,Software,Inbound,Project,New business,New,966899.55,5.92,909659.1,False,None,2,61.7,2026-11-16,Qualified,Lead,2026-08-27,,Open,,2026-08-28,3,2026-09-04,,12,4,3,8,2026,0,1,3,0,0,False,0.3235641607653036,294333.08327402134,Pipeline,0,Low,,,4.166666666666666,11.25,11.666666666666666,7.7125,12.5,4.044552009566295,12.5,12.5,76.3,Healthy,0.0
27,10971,Mumbai,Maharashtra,West,BFSI,SMB,106,False,78,10971,23,2,2023-03-16,4,Security Services,Services,Partner,Annual,New business,New,403747.68,7.89,371891.99,False,None,3,66.5,2023-08-07,Closed Lost,Discovery,2023-06-02,2023-06-02,Closed Lost,Product mismatch,2023-05-02,31,,78.0,78,0,1,3,2023,1,1,2,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
28,13208,Chennai,Tamil Nadu,South,Healthcare,SMB,55,False,59,13208,1,1,2024-04-22,1,Cloud Enablement,Services,Partner,Annual,New business,New,142766.95,2.75,138840.86,True,Competitor B,1,61.5,2024-07-31,Closed Lost,Proposal,2024-07-07,2024-07-07,Closed Lost,Product mismatch,2024-06-07,30,,76.0,76,0,2,4,2024,0,2,3,0,1,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
29,6117,Kolkata,West Bengal,East,Healthcare,Enterprise,378,False,83,6117,38,4,2025-11-09,1,Cloud Enablement,Services,Inbound,Annual,New business,New,1922809.56,7.98,1769369.36,True,Competitor B,3,29.6,2026-03-05,Closed Lost,Qualified,2025-12-02,2025-12-02,Closed Lost,No decision,2025-11-19,13,,23.0,23,0,4,11,2025,0,3,0,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
30,7114,Pune,Maharashtra,West,IT Services,SMB,104,False,65,7114,13,2,2026-02-25,2,Workflow Suite,Software,Inbound,Annual,New business,New,154730.96,6.84,144147.36,False,None,1,69.4,2026-05-25,Closed Lost,Discovery,2026-04-06,2026-04-06,Closed Lost,Competitor selected,2026-03-11,26,,40.0,40,0,1,2,2026,0,0,1,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
31,251,Chennai,Tamil Nadu,South,Healthcare,SMB,114,False,64,251,8,1,2023-09-13,1,Cloud Enablement,Services,Inbound,Annual,New business,New,176753.07,10.57,158070.27,False,None,2,39.9,2023-11-19,Closed Lost,Demo,2023-11-19,2023-11-19,Closed Lost,Customer priorities changed,2023-11-07,12,,67.0,67,0,3,9,2023,1,1,1,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
32,7445,Jaipur,Rajasthan,North,Retail,SMB,56,True,52,7445,32,3,2026-08-07,2,Workflow Suite,Software,Partner,Multi-year,Expansion,Existing,306904.1,8.74,280080.68,False,None,4,64.0,2026-10-20,Qualified,Lead,2026-08-26,,Open,,2026-08-31,0,2026-09-17,,24,5,3,8,2026,0,3,0,0,1,False,0.3235641607653036,90624.07017077555,Pipeline,0,Low,,,4.166666666666666,12.5,10.833333333333334,8.0,12.5,4.044552009566295,12.5,12.5,77.0,Healthy,0.0
33,12614,Jaipur,Rajasthan,North,BFSI,Mid-market,225,True,35,12614,28,3,2026-03-24,3,Data Advisory,Services,Partner,Annual,Expansion,Existing,816417.73,8.06,750614.46,False,None,3,44.2,2026-08-04,Closed Lost,Proposal,2026-08-06,2026-08-06,Closed Lost,Budget constraints,2026-07-24,13,,135.0,135,0,1,3,2026,0,0,2,0,0,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
34,275,Pune,Maharashtra,West,Manufacturing,Enterprise,990,True,78,275,14,2,2024-04-23,3,Data Advisory,Services,Referral,Multi-year,Expansion,Existing,5423857.3,5.42,5129884.23,True,Competitor A,4,67.5,2024-07-23,Closed Won,Negotiation,2024-08-08,2024-08-08,Closed Won,,2024-07-29,10,,107.0,107,0,2,4,2024,1,1,1,1,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
35,14711,Bhubaneswar,Odisha,East,BFSI,Enterprise,432,False,73,14711,48,4,2023-02-20,3,Data Advisory,Services,Inbound,Project,New business,New,2293672.09,4.13,2198943.43,True,Competitor C,5,50.9,2023-06-25,Closed Lost,Proposal,2023-07-06,2023-07-06,Closed Lost,Competitor selected,2023-05-06,61,,136.0,136,0,1,2,2023,0,2,0,0,2,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
36,8374,Bengaluru,Karnataka,South,Manufacturing,SMB,110,False,79,8374,6,1,2023-04-23,4,Security Services,Services,Inbound,Project,New business,New,216332.86,2.57,210773.11,False,None,2,69.0,2023-06-29,Closed Lost,Discovery,2023-06-03,2023-06-03,Closed Lost,Product mismatch,2023-05-28,6,,41.0,41,0,2,4,2023,0,1,2,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
37,12702,Kolkata,West Bengal,East,Retail,SMB,123,False,39,12702,46,4,2023-07-06,1,Cloud Enablement,Services,Inbound,Annual,New business,New,266163.8,5.42,251737.72,False,None,2,60.7,2023-09-14,Closed Lost,Lead,2023-07-29,2023-07-29,Closed Lost,Pricing,2023-07-29,0,,23.0,23,0,3,7,2023,1,1,1,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
38,8388,Kolkata,West Bengal,East,Retail,SMB,69,True,40,8388,45,4,2026-05-12,4,Security Services,Services,Event,Multi-year,Expansion,Existing,498075.65,19.65,400203.78,True,Competitor A,1,44.0,2026-07-24,Closed Lost,Qualified,2026-06-25,2026-06-25,Closed Lost,Budget constraints,2026-06-21,4,,44.0,44,0,2,5,2026,0,4,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
39,11552,Bengaluru,Karnataka,South,Manufacturing,SMB,75,False,81,11552,9,1,2023-05-29,4,Security Services,Services,Partner,Annual,New business,New,171995.42,9.7,155311.86,False,None,2,29.2,2023-07-24,Closed Lost,Lead,2023-06-16,2023-06-16,Closed Lost,Budget constraints,2023-06-03,13,,18.0,18,0,2,5,2023,0,0,1,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
40,12647,Mumbai,Maharashtra,West,BFSI,SMB,55,True,40,12647,19,2,2025-04-13,1,Cloud Enablement,Services,Event,Project,Renewal,Existing,348330.97,7.15,323425.31,False,None,3,67.1,2025-06-25,Closed Won,Negotiation,2025-09-16,2025-09-16,Closed Won,,2025-09-13,3,,156.0,156,0,2,4,2025,2,0,0,1,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
41,9945,Chennai,Tamil Nadu,South,Retail,SMB,123,False,62,9945,11,1,2026-08-14,3,Data Advisory,Services,Event,Annual,New business,New,717628.74,2.13,702343.25,False,None,2,26.2,2027-01-14,Lead,None,2026-08-14,,Open,,2026-08-27,4,2026-09-04,,17,17,3,8,2026,0,0,0,0,2,False,0.24256673698675726,170365.1103971743,Pipeline,10,Low,Low engagement,Re-engage the decision maker,2.083333333333333,10.833333333333334,11.319444444444445,3.2750000000000004,12.5,3.032084212334466,12.5,12.5,68.0,Watch,17036.51103971743
42,9491,Chennai,Tamil Nadu,South,BFSI,Mid-market,306,False,43,9491,12,1,2025-07-07,1,Cloud Enablement,Services,Inbound,Project,New business,New,764890.46,3.75,736207.07,True,Competitor B,3,75.6,2025-09-22,Closed Lost,Demo,2025-09-10,2025-09-10,Closed Lost,Competitor selected,2025-09-07,3,,65.0,65,0,3,7,2025,1,1,2,1,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
43,4367,Chennai,Tamil Nadu,South,Retail,SMB,82,False,49,4367,9,1,2025-05-21,2,Workflow Suite,Software,Outbound,Project,New business,New,125719.51,6.97,116956.86,False,None,4,63.2,2025-10-28,Closed Lost,Qualified,2025-07-08,2025-07-08,Closed Lost,No decision,2025-06-28,10,,48.0,48,0,2,5,2025,1,1,1,0,3,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
44,4741,Mumbai,Maharashtra,West,Manufacturing,Mid-market,84,True,70,4741,21,2,2024-01-23,3,Data Advisory,Services,Inbound,Project,Expansion,Existing,272246.4,5.91,256156.64,True,Competitor B,3,68.8,2024-05-17,Closed Lost,Qualified,2024-02-05,2024-02-05,Closed Lost,Pricing,2024-02-05,0,,13.0,13,0,1,1,2024,0,4,2,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
45,12886,Kolkata,West Bengal,East,IT Services,SMB,149,False,89,12886,41,4,2023-02-16,2,Workflow Suite,Software,Partner,Project,New business,New,264397.99,4.41,252738.04,False,None,3,35.1,2023-05-20,Closed Lost,Qualified,2023-04-07,2023-04-07,Closed Lost,No decision,2023-03-27,11,,50.0,50,0,1,2,2023,2,2,0,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
46,3782,Chennai,Tamil Nadu,South,Retail,SMB,149,False,49,3782,1,1,2026-08-08,2,Workflow Suite,Software,Inbound,Project,New business,New,386313.63,9.8,348454.89,True,Competitor C,2,29.7,2026-11-09,Qualified,Lead,2026-08-26,,Open,,2026-08-28,3,2026-09-02,,23,5,3,8,2026,1,3,1,0,1,False,0.3235641607653036,112747.51404741619,Pipeline,15,Low,Low engagement; Competitor present,Re-engage the decision maker; Clarify differentiation and buying criteria,4.166666666666666,11.25,10.902777777777779,3.7125,12.5,4.044552009566295,12.5,12.5,71.6,Healthy,16912.12710711243
47,10105,Pune,Maharashtra,West,Manufacturing,Mid-market,231,False,40,10105,14,2,2025-09-27,4,Security Services,Services,Inbound,Multi-year,New business,New,1271808.3,2.3,1242556.71,False,None,1,96.5,2026-02-03,Closed Won,Negotiation,2025-12-01,2025-12-01,Closed Won,,2025-11-04,27,,65.0,65,0,3,9,2025,1,1,0,0,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
48,12885,Jaipur,Rajasthan,North,BFSI,Enterprise,738,False,47,12885,33,3,2025-05-09,1,Cloud Enablement,Services,Outbound,Annual,New business,New,1476575.14,5.08,1401565.12,True,Competitor A,6,90.9,2025-08-04,Closed Lost,Proposal,2025-08-28,2025-08-28,Closed Lost,Internal approval delay,2025-05-30,90,,111.0,111,0,2,5,2025,0,2,0,0,0,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
49,9771,Chennai,Tamil Nadu,South,Manufacturing,SMB,93,False,61,9771,3,1,2024-09-23,2,Workflow Suite,Software,Referral,Project,New business,New,174508.8,7.67,161123.98,False,None,3,59.8,2025-01-02,Closed Lost,Negotiation,2025-01-18,2025-01-18,Closed Lost,Competitor selected,2024-11-25,54,,117.0,117,0,3,9,2024,0,1,0,0,0,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
50,8440,Jaipur,Rajasthan,North,Retail,Mid-market,159,True,83,8440,36,3,2025-01-11,1,Cloud Enablement,Services,Inbound,Annual,Expansion,Existing,816830.04,14.64,697246.12,True,Competitor A,2,53.8,2025-04-18,Closed Lost,Discovery,2025-02-23,2025-02-23,Closed Lost,Timing,2025-02-14,9,,43.0,43,0,1,1,2025,0,0,2,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
51,5221,Mumbai,Maharashtra,West,Healthcare,Enterprise,855,True,61,5221,19,2,2026-07-13,3,Data Advisory,Services,Inbound,Multi-year,Expansion,Existing,5613979.09,4.32,5371455.19,True,Competitor A,6,46.6,2026-10-01,Demo,Discovery,2026-08-29,,Open,,2026-08-30,1,2026-09-02,,49,2,3,7,2026,0,1,1,1,3,False,0.49543899657924745,2661228.369503991,Best Case,15,Low,Competitor present; Large deal exposure,Clarify differentiation and buying criteria; Arrange executive sponsorship,8.333333333333332,12.083333333333334,9.097222222222223,5.825,12.5,6.192987457240593,4.5258102395153745,12.5,71.1,Healthy,399184.2554255987
52,1674,Kolkata,West Bengal,East,Manufacturing,Mid-market,84,False,41,1674,47,4,2025-03-06,4,Security Services,Services,Outbound,Annual,New business,New,547314.9,5.84,515351.71,False,None,3,57.5,2025-06-08,Closed Won,Negotiation,2025-07-13,2025-07-13,Closed Won,,2025-05-18,56,,129.0,129,0,1,3,2025,0,0,1,0,1,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
53,2536,Bhubaneswar,Odisha,East,Healthcare,Mid-market,159,True,62,2536,42,4,2023-03-27,2,Workflow Suite,Software,Partner,Multi-year,Expansion,Existing,996670.89,7.05,926405.59,False,None,4,54.7,2023-07-20,Closed Won,Negotiation,2023-09-21,2023-09-21,Closed Won,,2023-09-02,19,,178.0,178,0,1,3,2023,0,1,0,1,3,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
54,13315,Kolkata,West Bengal,East,Retail,SMB,106,False,94,13315,43,4,2024-11-14,3,Data Advisory,Services,Partner,Project,New business,New,182022.59,6.91,169444.83,True,Competitor C,4,75.5,2025-02-12,Closed Won,Negotiation,2025-03-03,2025-03-03,Closed Won,,2025-02-24,7,,109.0,109,0,4,11,2024,1,0,2,1,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
